#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.kgXref.mRNA	mm10.kgXref.geneSymbol
uc007bal.1	chr1	-	55300068	55363469	NM_029267	Boll
uc007bam.1	chr1	-	55346256	55363469	BC152871	Boll
uc007ban.2	chr1	+	55405945	55754285	NM_001114663	Plcl1
uc007bar.2	chr1	-	56636050	56637451	NM_027661	Hsfy2
uc007bas.1	chr1	-	56793980	56971334	NM_139146	Satb2
uc011wlc.1	chr1	-	56793980	56971334	AK129270	Satb2
uc011wld.1	chr1	+	56971468	56975196	NR_024326	9130024F11Rik
uc029qoo.1	chr1	+	56971468	56975196	NR_024325	9130024F11Rik
uc007bav.2	chr1	-	57200644	57214996	NR_037990	BC055402
uc007bax.1	chr1	-	57359221	57377544	NR_037999	4930558J18Rik
uc007bay.2	chr1	+	57377619	57385422	NM_028546	1700066M21Rik
uc007bba.2	chr1	-	57388243	57406674	NM_001037742	Tyw5
uc007bbc.2	chr1	+	57406547	57415958	NM_001081181	9430016H08Rik
uc007bbd.2	chr1	+	57774860	57948397	NM_144882	Spats2l
uc007bbe.2	chr1	+	57845570	57948397	NM_001164566	Spats2l
uc011wlh.1	chr1	-	57955100	57969524	NR_027630	Kctd18
uc007bbf.2	chr1	-	57955100	57970084	NM_001159864	Kctd18
uc011wli.1	chr1	-	57955100	57970084	NM_001159865	Kctd18
uc007bbh.2	chr1	-	57960053	57970084	AK032658	Kctd18
uc007bbi.2	chr1	-	57963565	57970084	AK079700	Kctd18
uc007bbj.2	chr1	-	57963601	57970084	AK053098	Kctd18
uc011wlj.1	chr1	+	57985339	58026277	NM_001177867	Sgol2a
uc007bbk.2	chr1	+	57995973	58026277	NM_199007	Sgol2a
uc007bbl.1	chr1	+	58029968	58106410	NM_009676	Aox1
uc007bbm.1	chr1	+	58113135	58200452	NM_023617	Aox3
uc007bbn.1	chr1	+	58122241	58200452	AK030109	Aox3
uc007bbo.1	chr1	+	58210396	58268596	NM_023631	Aox4
uc007bbp.1	chr1	+	58278325	58379264	NM_001008419	Aox2
uc007bbq.1	chr1	+	58393096	58406548	AK152939	Bzw1
uc007bbr.1	chr1	+	58393135	58406548	NM_025824	Bzw1
uc057auo.1	chr1	-	58411987	58415659	AK146091	Clk1
uc007bbs.2	chr1	-	58411987	58424088	NM_001042634	Clk1
uc007bbt.2	chr1	-	58411987	58424088	NR_027853	Clk1
uc007bbu.2	chr1	-	58411987	58424088	NR_027854	Clk1
uc007bbx.2	chr1	-	58430992	58445486	NM_027351	Ppil3
uc007bby.2	chr1	-	58433786	58445486	NM_027374	Ppil3
uc007bbz.1	chr1	+	58445266	58462276	AK011670	Nif3l1
uc007bca.1	chr1	+	58445266	58481816	AK076788	Nif3l1
uc007bcb.1	chr1	+	58447633	58462276	NM_022988	Nif3l1
uc007bcc.1	chr1	-	58462770	58501426	NM_001025378	Orc2
uc007bcd.2	chr1	-	58462770	58505109	NM_008765	Orc2
uc007bci.2	chr1	-	58522805	58586333	NM_172513	Fam126b
uc007bck.2	chr1	+	58586396	58595964	NM_025597	Ndufb3
uc007bcl.1	chr1	+	58652640	58655831	NR_045007	Gm20257
uc007bcm.3	chr1	-	58658120	58695989	NM_175370	Als2cr12
uc011wlm.2	chr1	-	58658362	58692445	BC145039	Als2cr12
uc007bcp.1	chr1	+	58713285	58733227	NM_009805	Cflar
uc007bcq.3	chr1	+	58713285	58759209	NM_207653	Cflar
uc007bcs.1	chr1	+	58795373	58847503	NM_009812	Casp8
uc007bct.1	chr1	+	58802501	58847503	NM_001080126	Casp8
uc007bcv.2	chr1	-	58900449	58973482	NM_172406	Trak2
uc007bcx.1	chr1	+	58973570	58991512	AK086974	Stradb
uc007bcy.1	chr1	+	58973570	58995121	NM_172656	Stradb
uc007bdc.1	chr1	-	59050505	59094900	NM_175200	Als2cr11
uc007bdd.1	chr1	-	59100592	59119806	NM_001037812	Tmem237
uc007bde.1	chr1	-	59100592	59120096	NM_001033449	Tmem237
uc007bdf.1	chr1	-	59100592	59120382	AK133112	Tmem237
uc007bdh.1	chr1	-	59120934	59158675	AB059358	Mpp4
uc007bdi.2	chr1	-	59120934	59161636	NM_145143	Mpp4
uc007bdg.2	chr1	-	59120934	59163389	NM_001164682	Mpp4
uc007bdk.2	chr1	-	59148125	59161636	AK044600	Mpp4
uc007bdl.2	chr1	-	59162755	59186526	AK171800	Als2
uc011wlp.1	chr1	-	59162755	59237093	NM_001159948	Als2
uc007bdm.2	chr1	-	59162755	59237231	NM_028717	Als2
uc007bdn.2	chr1	-	59191622	59237231	NM_146109	Als2
uc007bdr.2	chr1	+	59256906	59352369	NM_001033373	Cdk15
uc007bdq.2	chr1	+	59256906	59352369	BC172036	Cdk15
uc011wlq.1	chr1	+	59482146	59486955	NM_008057	Fzd7
uc007bdv.1	chr1	+	59516263	59634509	NM_001013771	Gm973
uc007bdx.1	chr1	-	59639433	59670834	NM_009460	Sumo1
uc007bdy.1	chr1	+	59685005	59711510	NM_018868	Nop58
uc011wlr.1	chr1	+	59691957	59692010	NR_028554	Snord70
uc011wls.1	chr1	+	59704807	59704870	NR_028521	Snord11
uc007bdz.2	chr1	+	59764278	59878081	NM_007561	Bmpr2
uc011wlt.2	chr1	+	59913005	59985348	NM_001037725	Fam117b
uc007beb.2	chr1	-	59989067	60043122	NM_027407	Ica1l
uc007bee.2	chr1	-	60076867	60097907	NM_021312	Wdr12
uc007bef.2	chr1	-	60076867	60098134	NM_001199061	Wdr12
uc007beg.2	chr1	-	60076867	60098500	NM_001199060	Wdr12
uc007beh.2	chr1	+	60098246	60153953	NM_139150	Carf
uc007bej.1	chr1	+	60180598	60334705	NM_173444	Nbeal1
uc007bek.1	chr1	+	60234980	60282038	AK143706	Nbeal1
uc007bem.2	chr1	+	60343299	60372707	AK020848	Cyp20a1
uc007ben.2	chr1	+	60343299	60388060	NM_030013	Cyp20a1
uc007bep.2	chr1	+	60409618	60481163	NM_001198570	Abi2
uc007ber.2	chr1	+	60409618	60481163	NM_001198571	Abi2
uc007beq.2	chr1	+	60409618	60481163	NM_198127	Abi2
uc007bet.2	chr1	-	60483184	60566765	NM_001045513	Raph1
uc007bev.2	chr1	+	60746387	60764626	AK041322	Cd28
uc007bew.2	chr1	+	60746387	60773359	NM_007642	Cd28
uc007bez.2	chr1	+	60909024	60915832	NM_009843	Ctla4
uc011wlz.2	chr1	+	60977913	61000321	NM_017480	Icos
uc029qot.1	chr1	+	61378431	61395904	NR_040483	9530026F06Rik
uc007bfd.2	chr1	+	61638823	62169299	AK141451	Pard3b
uc007bfe.2	chr1	+	61638823	62642284	NM_001081050	Pard3b
uc011wma.1	chr1	+	62010306	62642284	BC167176	Pard3b
uc007bfj.1	chr1	+	62703316	62797091	NM_001077406	Nrp2
uc007bfk.1	chr1	+	62703316	62797091	NM_001077407	Nrp2
uc007bfl.1	chr1	+	62703316	62818692	NM_001077403	Nrp2
uc007bfm.1	chr1	+	62703316	62818692	NM_001077404	Nrp2
uc007bfn.1	chr1	+	62703316	62818692	NM_010939	Nrp2
uc007bfo.1	chr1	+	62703316	62818692	NM_001077405	Nrp2
uc007bfp.1	chr1	+	62768968	62797091	AK141234	Nrp2
uc029qou.1	chr1	-	62790917	62794732	NR_040601	4930487H11Rik
uc011wmb.1	chr1	-	63047800	63114267	NM_001081436	Ino80d
uc011wmc.1	chr1	-	63047800	63114267	NM_001114609	Ino80d
uc007bfy.2	chr1	-	63143591	63176822	NM_001160039	Ndufs1
uc011wmd.1	chr1	-	63143591	63176822	NM_001160038	Ndufs1
uc007bfu.2	chr1	-	63143591	63176822	NM_145518	Ndufs1
uc007bfv.2	chr1	-	63143591	63176822	NM_001160040	Ndufs1
uc007bfw.1	chr1	-	63156682	63165030	AK166604	Ndufs1
uc007bfx.2	chr1	-	63158901	63176822	AK078590	Ndufs1
uc007bfz.2	chr1	+	63176830	63180486	NM_018796	Eef1b2
uc011wme.1	chr1	+	63179022	63179135	NR_028558	Snora41
uc007bga.3	chr1	-	63182570	63214281	NM_146250	Gpr1
uc033fjd.1	chr1	-	63183012	63184074	CCDS14998	Gpr1
uc007bgb.2	chr1	+	63273268	63314575	NM_028673	Zdbf2
uc007bge.2	chr1	+	63445890	63569094	AK034022	Adam23
uc007bgf.3	chr1	+	63445890	63573162	CCDS48279	Adam23
uc007bgg.2	chr1	+	63445890	63596101	NM_011780	Adam23
uc007bgi.1	chr1	-	63622850	63686927	NM_001081658	Dytn
uc007bgj.1	chr1	-	63698826	63730318	NM_029696	Mdh1b
uc007bgk.3	chr1	+	63730624	63736217	AK038293	Fastkd2
uc007bgl.2	chr1	+	63730624	63753385	NM_172422	Fastkd2
uc007bgm.1	chr1	+	63964726	63968999	NR_027824	Gm13749
uc007bgo.2	chr1	-	64035670	64121389	NM_033563	Klf7
uc007bgp.2	chr1	-	64035670	64121426	BC040794	Klf7
uc007bgq.1	chr1	-	64041925	64121426	AK149362	Klf7
uc007bgr.1	chr1	+	64532803	64604548	NM_009952	Creb1
uc007bgs.1	chr1	+	64532803	64604548	NM_133828	Creb1
uc007bgt.1	chr1	+	64532803	64604548	NM_001037726	Creb1
uc007bgu.1	chr1	-	64606479	64617168	NM_025964	Mettl21a
uc007bgv.1	chr1	-	64606479	64617206	AK009682	Mettl21a
uc007bgw.2	chr1	-	64679868	64690659	NR_038009	2810408I11Rik
uc007bgx.1	chr1	+	64691212	64725642	NM_001097644	Ccnyl1
uc007bgy.1	chr1	-	64730557	64737750	NM_022721	Fzd5
uc007bgz.1	chr1	-	64730557	64737750	NM_001042659	Fzd5
uc033fjh.1	chr1	-	64734842	64736600	CCDS15008	Fzd5
uc033fji.1	chr1	-	64785982	64956824	BC063098	Plekhm3
uc007bha.1	chr1	-	64789120	64956824	NM_001039493	Plekhm3
uc007bhb.1	chr1	-	64860297	64928097	AK172220	Plekhm3
uc007bhc.2	chr1	-	65013077	65032759	NM_027582	Akr1cl
uc007bhf.1	chr1	-	65048556	65051163	NM_007777	Cryge
uc007bhg.2	chr1	-	65061837	65063440	NM_007776	Crygd
uc007bhi.2	chr1	-	65071524	65073532	NM_007775	Crygc
uc007bhh.3	chr1	-	65071524	65073532	NM_001082573	Crygc
uc007bhj.2	chr1	-	65080221	65082290	NM_144761	Crygb
uc007bhk.1	chr1	-	65100388	65103363	NM_007774	Cryga
uc007bhm.2	chr1	-	65107312	65123214	NM_175293	D630023F18Rik
uc007bhn.2	chr1	-	65158615	65179142	NM_010497	Idh1
uc011wmj.1	chr1	-	65158615	65186479	NM_001111320	Idh1
uc007bhs.1	chr1	+	65186684	65278696	NM_011086	Pikfyve
uc007bhu.1	chr1	+	65311256	65389244	NM_139270	Pth2r
uc007bhv.1	chr1	+	65926521	65928304	NM_027010	Crygf
uc007bhw.1	chr1	+	66175328	66442583	NM_001039934	Map2
uc007bhx.1	chr1	+	66175328	66442583	NM_008632	Map2
uc007bhy.2	chr1	+	66321723	66404131	AK086484	Map2
uc007bia.1	chr1	+	66364654	66442583	BC051410	Map2
uc007bib.1	chr1	+	66364654	66442583	BC048781	Map2
uc007bih.2	chr1	+	66468446	66699148	NM_175510	Unc80
uc007bil.2	chr1	+	66700830	66719805	NM_025683	Rpe
uc011wml.1	chr1	-	66719242	66817461	BC141036	Kansl1l
uc007bim.2	chr1	-	66719242	66817595	NM_001122738	Kansl1l
uc007bin.2	chr1	-	66719242	66817595	NM_177645	Kansl1l
uc007bio.2	chr1	-	66735541	66817595	AK145440	Kansl1l
uc007bip.1	chr1	-	66776997	66808794	AK081413	Kansl1l
uc007biq.2	chr1	-	66800741	66817595	AK172645	Kansl1l
uc007bir.2	chr1	-	66830838	66863309	NM_007381	Acadl
uc007bis.2	chr1	-	66924295	66935366	NM_001113387	Myl1
uc007bit.2	chr1	-	66924295	66945056	NM_021285	Myl1
uc007biu.2	chr1	-	66926065	66935366	BC059087	Myl1
uc007biv.1	chr1	-	67000516	67038834	NM_001190984	Lancl1
uc007bix.2	chr1	-	67000516	67038872	NM_021295	Lancl1
uc007biw.2	chr1	-	67000516	67038872	NM_001190985	Lancl1
uc007biy.2	chr1	+	67123026	67231267	NM_001080809	Cps1
uc007bjb.2	chr1	-	68032186	69108059	NM_010154	Erbb4
uc007bjd.2	chr1	-	69531209	69685960	NM_011770	Ikzf2
uc007bjh.2	chr1	+	69826969	70725132	NM_029160	Spag16
uc007bji.2	chr1	+	69951614	70725132	NM_025728	Spag16
uc007bjk.1	chr1	+	70725714	70885397	NM_177164	Vwc2l
uc007bjm.2	chr1	-	71027534	71102972	NM_007525	Bard1
uc011wmq.1	chr1	-	71243089	71414910	NM_175210	Abca12
uc007bjp.1	chr1	-	71310973	71414910	AK029031	Abca12
uc007bjs.2	chr1	+	71557155	71573363	AK051020	Atic
uc007bjt.2	chr1	+	71557155	71579403	NM_026195	Atic
uc007bju.2	chr1	-	71585472	71653234	NM_010233	Fn1
uc007bkf.1	chr1	+	71653156	71662843	NR_040308	Apol7d
uc011wmr.1	chr1	+	71888111	71891204	NR_027658	Gm8883
uc011wms.1	chr1	+	71888111	71891204	NR_027659	Gm8883
uc029qoz.1	chr1	-	71958997	72005195	NR_040454	4933417E11Rik
uc007bkg.2	chr1	-	72159232	72212307	NM_001005423	Mreg
uc007bki.2	chr1	-	72259172	72284314	NM_023523	Pecr
uc007bkj.2	chr1	-	72266995	72284314	AK135714	Pecr
uc007bkk.1	chr1	+	72284372	72302995	NM_175564	Tmem169
uc007bkl.2	chr1	+	72307420	72394953	NM_009533	Xrcc5
uc007bkn.1	chr1	-	72427111	72536564	NM_001045533	March4
uc007bko.2	chr1	+	72583250	72591886	AK035854	Smarcal1
uc007bkp.2	chr1	+	72583250	72596271	AK169465	Smarcal1
uc007bkq.2	chr1	+	72583250	72599399	AK042332	Smarcal1
uc007bkr.2	chr1	+	72583250	72626916	AK077878	Smarcal1
uc007bks.2	chr1	+	72583250	72636790	NM_018817	Smarcal1
uc007bkt.2	chr1	-	72642979	72700564	NM_176980	Ankar
uc011wmv.1	chr1	-	72642979	72700564	BC145253	Ankar
uc007bku.2	chr1	-	72642979	72700564	AK077036	Ankar
uc007bkv.2	chr1	+	72711259	72713813	NM_009084	Rpl37a
uc007bkw.2	chr1	+	72824479	72852471	NM_008342	Igfbp2
uc007bkx.1	chr1	-	72858064	72874865	NM_010518	Igfbp5
uc007bkz.2	chr1	-	73015074	73015899	NM_009407	Tnp1
uc029qpb.1	chr1	+	73016035	73025508	NR_038001	1700027A15Rik
uc007bla.2	chr1	+	73024585	73025508	NR_038002	1700027A15Rik
uc007blb.1	chr1	-	73391384	73407569	NR_003202	Pinc
uc029qpc.1	chr1	+	73398967	73430779	NR_040605	D530049I02Rik
uc007bld.2	chr1	-	73618380	73864466	NR_045311	6030407O03Rik
uc011wmx.2	chr1	-	73910230	74124449	NM_027884	Tns1
uc011wmy.1	chr1	+	74125540	74148230	NM_001170641	Rufy4
uc007blk.2	chr1	+	74125540	74148230	NM_001034060	Rufy4
uc007bll.1	chr1	+	74153993	74161246	NM_009909	Cxcr2
uc033fjk.1	chr1	+	74158348	74159428	CCDS15040	Cxcr2
uc007blm.1	chr1	-	74191785	74194631	NM_178241	Cxcr1
uc033fjl.1	chr1	-	74191805	74192861	CCDS15041	Cxcr1
uc007bln.1	chr1	+	74236517	74268213	AK170061	Arpc2
uc007blo.1	chr1	+	74236549	74268213	NM_029711	Arpc2
uc007blp.1	chr1	+	74236890	74268213	AK083263	Arpc2
uc007blq.1	chr1	+	74278599	74279589	NM_174985	Gpbar1
uc011wmz.1	chr1	-	74279839	74284738	NM_001190444	Aamp
uc007blr.2	chr1	-	74279839	74284738	NM_146110	Aamp
uc007bls.1	chr1	+	74285033	74287453	NM_025580	Pnkd
uc007blt.1	chr1	+	74285033	74353692	NM_001039509	Pnkd
uc007blu.1	chr1	+	74285033	74353692	BC058945	Pnkd
uc007blv.2	chr1	-	74288246	74304336	NM_027154	Tmbim1
uc007blw.1	chr1	+	74332609	74353692	NM_019999	Pnkd
uc007blx.1	chr1	+	74362107	74369321	NM_001033345	Catip
uc011wna.1	chr1	+	74362441	74369321	BC150857	Catip
uc007bly.2	chr1	+	74375202	74386051	NM_013612	Slc11a1
uc007blz.2	chr1	+	74391608	74397285	NM_153088	Ctdsp1
uc007bma.2	chr1	+	74394309	74394394	NR_029743	Mir26b
uc007bmb.2	chr1	+	74409383	74435560	NM_009509	Vil1
uc007bmd.2	chr1	-	74435509	74544286	NM_176972	Usp37
uc007bmf.2	chr1	+	74506059	74530842	NM_021383	Rqcd1
uc007bmg.1	chr1	+	74542888	74565977	NM_001081456	Plcd4
uc007bmh.1	chr1	+	74544359	74565977	NM_148937	Plcd4
uc007bmi.1	chr1	+	74551019	74560606	AK039149	Plcd4
uc007bmm.2	chr1	-	74566425	74588028	NM_029888	Zfp142
uc007bmq.2	chr1	+	74588288	74592443	NM_025784	Bcs1l
uc007bms.3	chr1	-	74593747	74601397	NM_021313	Rnf25
uc007bmu.1	chr1	+	74601454	74634756	BC043103	Stk36
uc007bmv.1	chr1	+	74601454	74636893	NM_175031	Stk36
uc011wnc.1	chr1	+	74601638	74636893	BC058698	Stk36
uc007bmw.1	chr1	+	74622829	74636893	AK047284	Stk36
uc007bmx.1	chr1	+	74626464	74636893	AK086716	Stk36
uc007bmy.1	chr1	+	74661753	74697973	NM_001014974	Ttll4
uc007bna.2	chr1	+	74713534	74737897	NM_024264	Cyp27a1
uc007bnb.2	chr1	-	74738921	74748955	NM_153744	Prkag3
uc007bnc.1	chr1	-	74740586	74748577	AF525501	Prkag3
uc007bne.1	chr1	+	74771891	74785319	NM_009526	Wnt6
uc007bnf.2	chr1	+	74792018	74804175	NM_009518	Wnt10a
uc007bng.2	chr1	+	74855028	74857732	NM_009872	Cdk5r2
uc007bnh.2	chr1	-	74881508	74885408	NM_153111	Fev
uc007bni.2	chr1	-	74889933	74893143	NM_021541	Cryba2
uc011wne.1	chr1	-	74900657	74900721	NR_029876	Mir375
uc007bnj.1	chr1	-	74902079	74935599	NM_001039495	Ccdc108
uc007bnl.2	chr1	-	74945314	74951672	NM_010544	Ihh
uc029qpd.1	chr1	-	74967345	75046639	NM_029342	Nhej1
uc007bno.1	chr1	-	75125541	75133890	NM_194333	Slc23a3
uc007bnp.1	chr1	-	75135214	75141587	AK159252	Cnppd1
uc007bnq.1	chr1	-	75135214	75142560	NM_026977	Cnppd1
uc007bnr.1	chr1	-	75135214	75142638	AK169779	Cnppd1
uc007bns.1	chr1	-	75135214	75142697	AK145962	Cnppd1
uc007bnt.1	chr1	+	75142785	75147909	NM_170755	Fam134a
uc011wnf.1	chr1	+	75168645	75171626	NM_001159906	Zfand2b
uc011wng.1	chr1	+	75168645	75171626	NM_001159905	Zfand2b
uc007bnw.2	chr1	+	75168734	75171626	NM_026846	Zfand2b
uc007bnx.2	chr1	-	75171640	75180392	NM_023732	Abcb6
uc007bny.2	chr1	-	75177909	75180392	AK033668	Abcb6
uc007bob.2	chr1	-	75180860	75192010	NM_001003917	Atg9a
uc029qpe.2	chr1	+	75192159	75199385	NM_026187	Ankzf1
uc007boe.1	chr1	+	75192322	75199385	BC057896	Ankzf1
uc011wnk.1	chr1	-	75198234	75210778	NM_029010	Glb1l
uc007boh.2	chr1	+	75210828	75215606	NM_011494	Stk16
uc007bok.2	chr1	-	75214971	75219294	NM_009447	Tuba4a
uc007bol.1	chr1	-	75220094	75223654	NM_001243091	A630095N17Rik
uc029qph.1	chr1	-	75220094	75232093	NM_001243090	A630095N17Rik
uc007boo.2	chr1	+	75236422	75245692	NM_178055	Dnajb2
uc007bom.2	chr1	+	75236422	75245692	NM_001159884	Dnajb2
uc007bon.2	chr1	+	75236422	75245692	NM_001159883	Dnajb2
uc007bop.2	chr1	+	75236422	75245692	NM_020266	Dnajb2
uc011wnm.1	chr1	+	75236701	75245692	NM_001159885	Dnajb2
uc007boq.1	chr1	-	75247040	75264208	NM_008985	Ptprn
uc007bor.1	chr1	-	75255533	75264208	AK163141	Ptprn
uc007bos.1	chr1	-	75272201	75278380	NM_009049	Resp18
uc007bou.2	chr1	-	75308564	75317007	AF005051	Dnpep
uc007bot.2	chr1	-	75308564	75317017	NM_016878	Dnpep
uc011wnp.1	chr1	-	75308564	75317637	NM_001110831	Dnpep
uc007box.2	chr1	+	75360291	75368579	NM_010043	Des
uc007boy.2	chr1	-	75368209	75375015	NR_037976	Gm15179
uc007boz.1	chr1	+	75375296	75432306	NM_007463	Speg
uc007bpa.1	chr1	+	75382113	75404565	NM_001085371	Speg
uc007bpb.1	chr1	+	75384964	75389104	AK199080	Speg
uc007bpc.1	chr1	+	75385609	75432306	NM_001085370	Speg
uc011wnq.1	chr1	+	75400084	75404565	NM_001173477	Speg
uc007bpd.1	chr1	+	75435942	75443176	NM_133708	Gmppa
uc007bpe.1	chr1	+	75436146	75443176	AK150473	Gmppa
uc007bpf.1	chr1	+	75436146	75443176	AK144311	Gmppa
uc007bpg.1	chr1	+	75450509	75474340	NM_183022	Asic4
uc007bph.1	chr1	-	75474568	75478746	AK160734	Chpf
uc007bpi.2	chr1	-	75474568	75479471	NM_001001565	Chpf
uc007bpj.2	chr1	-	75474568	75479471	NM_001001566	Chpf
uc007bpk.2	chr1	-	75474568	75479471	AK006466	Chpf
uc007bpl.2	chr1	+	75479531	75485693	NM_177056	Tmem198
uc007bpm.2	chr1	+	75479579	75485693	AK082334	Tmem198
uc007bpn.2	chr1	-	75485824	75506452	NM_178884	Obsl1
uc007bpp.3	chr1	-	75496336	75503680	BC051643	Obsl1
uc007bps.1	chr1	+	75507076	75510354	NM_010564	Inha
uc007bpt.2	chr1	+	75521528	75537335	NM_027886	Stk11ip
uc007bpu.1	chr1	+	75521566	75537335	AK156122	Stk11ip
uc007bpv.2	chr1	+	75546265	75559431	NM_009208	Slc4a3
uc007bpy.1	chr1	+	76489132	76502028	NR_038013	Gm17751
uc011wns.1	chr1	+	76489132	76502028	NR_038012	Gm17751
uc007bpz.1	chr1	-	77367184	77515088	NM_007936	Epha4
uc007bqa.1	chr1	-	77396796	77515088	AK132203	Epha4
uc007bqc.2	chr1	-	78101266	78197136	NM_001159520	Pax3
uc007bqb.2	chr1	-	78101266	78197136	NM_008781	Pax3
uc007bqd.1	chr1	-	78183457	78197136	AK083424	Pax3
uc007bqe.1	chr1	+	78310345	78420286	NM_001004173	Sgpp2
uc007bqg.2	chr1	-	78424744	78488897	NM_011811	Farsb
uc007bql.2	chr1	+	78511059	78538173	NM_026713	Mogat1
uc007bqk.1	chr1	+	78511168	78606964	BC031920	Mogat1
uc007bqn.2	chr1	+	78657824	78667601	NM_001001981	Utp14b
uc007bqo.2	chr1	+	78657824	78707743	NM_028817	Acsl3
uc007bqp.2	chr1	+	78657824	78707743	NM_001033606	Acsl3
uc011wnu.1	chr1	+	78657824	78707743	NM_001136222	Acsl3
uc011wnv.1	chr1	+	78658439	78667601	NM_001136226	Utp14b
uc033fjt.1	chr1	+	78664386	78666729	CCDS15086	Utp14b
uc007bqq.1	chr1	+	78816948	78820025	NM_021342	Kcne4
uc033fju.1	chr1	+	78817636	78818149	CCDS15088	Kcne4
uc007bqr.1	chr1	-	79434668	79440090	NM_009129	Scg2
uc033fjv.1	chr1	-	79435150	79437004	CCDS15089	Scg2
uc011wnw.1	chr1	-	79606875	79671972	NM_183027	Ap1s3
uc007bqu.2	chr1	-	79702261	79761769	NM_001111279	Wdfy1
uc007bqv.1	chr1	-	79714873	79722260	AK190401	Wdfy1
uc007bqw.2	chr1	-	79726402	79761769	NM_027057	Wdfy1
uc007bqx.1	chr1	+	79776017	79778546	AK019986	Mrpl44
uc007bqy.1	chr1	+	79776017	79781445	NM_001081210	Mrpl44
uc007bqz.2	chr1	-	79794320	79858665	NM_009255	Serpine2
uc007bra.2	chr1	-	79815107	79858665	AK164270	Serpine2
uc007brb.2	chr1	-	80198698	80213944	NM_173425	Fam124b
uc007brc.2	chr1	-	80264922	80340690	NM_016716	Cul3
uc029qpk.1	chr1	+	80445931	80475660	NR_040460	1700016L21Rik
uc007brg.3	chr1	-	80501067	80758553	NM_175291	Dock10
uc007brj.1	chr1	+	81076949	81300096	AK049778	Nyap2
uc007brk.1	chr1	+	81077203	81300096	AK034747	Nyap2
uc007brl.1	chr1	+	81077316	81271651	NM_172849	Nyap2
uc007brm.1	chr1	+	81077316	81300096	AK137094	Nyap2
uc007brn.1	chr1	+	81077406	81341764	AB429290	Nyap2
uc007brp.2	chr1	-	82233104	82291439	NM_010570	Irs1
uc033fjx.1	chr1	-	82286797	82290493	CCDS15096	Irs1
uc007brq.3	chr1	+	82316578	82445367	NM_029777	Rhbdd1
uc007brr.2	chr1	+	82339048	82445367	NM_001122685	Rhbdd1
uc033fjy.1	chr1	-	82450722	82571535	CCDS35630	Col4a4
uc033fjz.1	chr1	-	82450722	82586849	NM_007735	Col4a4
uc007brv.1	chr1	+	82586920	82722059	NM_007734	Col4a3
uc007brx.2	chr1	+	82724889	82752389	NM_029409	Mff
uc007bsa.1	chr1	+	82729215	82741976	AK178118	Mff
uc007bsd.1	chr1	-	82756648	82768456	NM_025453	Tm4sf20
uc007bse.2	chr1	+	82839459	82901001	NM_010472	Agfg1
uc007bsf.2	chr1	+	82839459	82901001	AK029917	Agfg1
uc007bsi.2	chr1	-	83012522	83038448	NM_030556	Slc19a3
uc007bsj.2	chr1	-	83012522	83038448	BC109155	Slc19a3
uc007bsk.2	chr1	+	83116765	83119167	NM_016960	Ccl20
uc007bsl.2	chr1	+	83116765	83119167	NM_001159738	Ccl20
uc007bso.2	chr1	+	83159761	83210572	NR_027636	Daw1
uc007bsn.2	chr1	+	83159761	83210572	NM_027725	Daw1
uc007bsp.2	chr1	-	83255780	83279335	AK019735	Sphkap
uc007bsq.2	chr1	-	83255780	83408200	NM_172430	Sphkap
uc007bst.2	chr1	-	84036292	84284645	NM_001003948	Pid1
uc007bsw.1	chr1	-	84369838	84696221	NM_152915	Dner
uc007bsx.1	chr1	-	84533943	84696221	AK030642	Dner
uc029qpm.1	chr1	+	84695838	84695915	NR_039588	Mir5126
uc007bsy.1	chr1	-	84721188	84839304	NM_133975	Trip12
uc007bsz.1	chr1	-	84760762	84840516	AK134397	Trip12
uc007btc.2	chr1	+	84839840	84900486	NM_025386	Fbxo36
uc007btd.1	chr1	-	84906704	84935083	NM_027921	Slc16a14
uc007btg.2	chr1	-	85026345	85327366	BC021350	Csprs
uc007bth.2	chr1	-	85026345	85327366	BC080715	Csprs
uc007bti.1	chr1	-	85083074	85270566	BC094285	A530032D15Rik
uc007btj.1	chr1	-	85088138	85109853	NM_213615	A530032D15Rik
uc007btn.1	chr1	-	85112417	85261886	AK016231	C130026I21Rik
uc007btq.1	chr1	+	85199610	85213762	NM_001081746	Gm7609
uc007btr.1	chr1	+	85199610	85213762	AK156961	Gm7609
uc007btt.1	chr1	-	85246343	85270566	NM_175219	C130026I21Rik
uc007btu.1	chr1	-	85246343	85270566	NM_001037909	C130026I21Rik
uc007btx.1	chr1	+	85536268	85552185	BC021350	Csprs
uc007bty.1	chr1	+	85539029	85552185	AK156961	Csprs
uc007bua.2	chr1	-	85576898	85598810	BC039938	Sp110
uc007bub.2	chr1	-	85576898	85603891	NM_175397	Sp110
uc007buc.1	chr1	+	85600702	85645036	NM_001013817	Sp140
uc007buh.2	chr1	+	85649987	85709997	NM_013673	Sp100
uc007buj.2	chr1	-	85717082	85736606	NM_177055	A630001G21Rik
uc007bum.2	chr1	+	85793446	85851577	NM_133781	Cab39
uc011wof.1	chr1	+	85894509	85908698	NM_022417	Itm2c
uc007bup.2	chr1	+	85928482	85931756	NR_037692	4933407L21Rik
